"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 12:48:15 GMT 2023","Fri Apr 14 12:48:15 GMT 2023","318","Vizsgaremek","conduit_test","TestConduit","","","test_login",""
"passed","Fri Apr 14 12:49:09 GMT 2023","Fri Apr 14 12:49:16 GMT 2023","6971","Vizsgaremek","conduit_test","TestConduit","","","test_comment_create",""
"passed","Fri Apr 14 12:49:25 GMT 2023","Fri Apr 14 12:49:26 GMT 2023","853","Vizsgaremek","conduit_test","TestConduit","","","test_log_out",""
"passed","Fri Apr 14 12:48:16 GMT 2023","Fri Apr 14 12:48:17 GMT 2023","998","Vizsgaremek","conduit_test","TestConduit","","","test_page_number",""
"passed","Fri Apr 14 12:48:19 GMT 2023","Fri Apr 14 12:48:19 GMT 2023","938","Vizsgaremek","conduit_test","TestConduit","","","test_tags",""
"passed","Fri Apr 14 12:48:33 GMT 2023","Fri Apr 14 12:48:47 GMT 2023","14276","Vizsgaremek","conduit_test","TestConduit","","","test_article_edit",""
"passed","Fri Apr 14 12:48:08 GMT 2023","Fri Apr 14 12:48:12 GMT 2023","4261","Vizsgaremek","conduit_test","TestConduit","","","test_login_empty_fields",""
"passed","Fri Apr 14 12:50:12 GMT 2023","Fri Apr 14 12:51:23 GMT 2023","71590","Vizsgaremek","conduit_test","TestConduit","","","test_tobszoros_adatbevitel",""
"passed","Fri Apr 14 12:47:55 GMT 2023","Fri Apr 14 12:48:00 GMT 2023","5342","Vizsgaremek","conduit_test","TestConduit","","","test_registration_wrong_email",""
"passed","Fri Apr 14 12:49:27 GMT 2023","Fri Apr 14 12:50:08 GMT 2023","41041","Vizsgaremek","conduit_test","TestConduit","","","test_source",""
"passed","Fri Apr 14 12:48:01 GMT 2023","Fri Apr 14 12:48:06 GMT 2023","5310","Vizsgaremek","conduit_test","TestConduit","","","test_registration_empty_fields",""
"passed","Fri Apr 14 12:50:10 GMT 2023","Fri Apr 14 12:50:11 GMT 2023","1036","Vizsgaremek","conduit_test","TestConduit","","","test_save",""
"passed","Fri Apr 14 12:47:51 GMT 2023","Fri Apr 14 12:47:53 GMT 2023","2366","Vizsgaremek","conduit_test","TestConduit","","","test_registration",""
"passed","Fri Apr 14 12:48:21 GMT 2023","Fri Apr 14 12:48:32 GMT 2023","11234","Vizsgaremek","conduit_test","TestConduit","","","test_article_create1",""
"passed","Fri Apr 14 12:47:49 GMT 2023","Fri Apr 14 12:47:50 GMT 2023","1101","Vizsgaremek","conduit_test","TestConduit","","","test_cookies",""
"passed","Fri Apr 14 12:49:17 GMT 2023","Fri Apr 14 12:49:24 GMT 2023","6920","Vizsgaremek","conduit_test","TestConduit","","","test_comment_delete",""
"passed","Fri Apr 14 12:48:13 GMT 2023","Fri Apr 14 12:48:14 GMT 2023","818","Vizsgaremek","conduit_test","TestConduit","","","test_login_wrong_password",""
"passed","Fri Apr 14 12:48:48 GMT 2023","Fri Apr 14 12:49:08 GMT 2023","19738","Vizsgaremek","conduit_test","TestConduit","","","test_article_delete",""
